Group,Phase,Mineralogy,Grain Label,Reference,Meteorite,Technique,Size (nm),Notes,17O/16O,Error[17O/16O],18O/16O,Error[18O/16O],d(29Si/28Si),Error[d(29Si/28Si)],d(30Si/28Si),Error[d(30Si/28Si)],d(25Mg/24Mg),Error[d(25Mg/24Mg)],d(26Mg/24Mg),Error[d(26Mg/24Mg)],27Al/24Mg,Error[27Al/24Mg],26Al/27Al,Error[26Al/27Al],41Ca/42Ca,Error[41Ca/42Ca],d(42Ca/40Ca),Error[d(42Ca/40Ca)],d(43Ca/40Ca),Error[d(43Ca/40Ca)],d(44Ca/40Ca),Error[d(44Ca/40Ca)],d(46Ti/48Ti),Error[d(46Ti/48Ti)],d(47Ti/48Ti),Error[d(47Ti/48Ti)],d(49Ti/48Ti),Error[d(49Ti/48Ti)],d(50Ti/48Ti),Error[d(50Ti/48Ti)],d(50Cr/52Cr),Error[d(50Cr/52Cr)],d(53Cr/52Cr),Error[d(53Cr/52Cr)],d(54Cr/52Cr),Error[d(54Cr/52Cr)],d(54Fe/56Fe),Error[d(54Fe/56Fe)],d(57Fe/56Fe),Error[d(57Fe/56Fe)],d(58Fe/56Fe),Error[d(58Fe/56Fe)],d(60Ni/58Ni),Error[d(60Ni/58Ni)],d(61Ni/58Ni),Error[d(61Ni/58Ni)],d(62Ni/58Ni),Error[d(62Ni/58Ni)]
1,Oxide,Al-Fe-Mg,34C-6 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 150 × 190 ,,0.0007390000,0.0000490000,0.0020300000,8.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Al-Fe-Mg,42Fb3 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 190 × 90 ,,0.0006040000,0.0000440000,0.0015600000,7.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,42Ff26 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 270 × 120 ,,0.0007310000,0.0000420000,0.0019800000,6.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,TiO2,42Fs6 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 200 × 120 ,,0.0007090000,0.0000270000,0.0013400000,4.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Fe-bearing oxide,E20-36-tp,Bose PoS 2010 (NIC XI),SAH97096,"Wash U NanoSIMS, Wash U Auger",,,0.0007100000,0.0000900000,0.0021900000,1.60E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Fe-bearing oxide,E20-36-bm,Bose PoS 2010 (NIC XI),SAH97096,"Wash U NanoSIMS, Wash U Auger",,,0.0006500000,0.0000700000,0.0020300000,1.10E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oxide,Fe-bearing oxide,B2-1,Bose PoS 2010 (NIC XI),SAH97096,"Wash U NanoSIMS, Wash U Auger",,,0.0003900000,0.0000200000,0.0022000000,4.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5158,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0006400000,0.0000350000,0.0013600000,9.50E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5167,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0008200000,0.0000250000,0.0013000000,6.00E-05,,,,,-72.89,65.55,140.54,72.14,2706,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5186,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0004600000,0.0000650000,0.0011400000,0.00017,,,,,-1.82,11.85,19.24,11.84,9.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5223,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0005300000,0.0000600000,0.0019200000,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5227,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0025100000,0.0000850000,0.0012100000,0.00011,,,,,36.09,30.80,2250.79,67.47,183,19,1.70E-03,2.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C6087,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0075200000,0.0000250000,0.0021800000,2.50E-05,,,,,36.09,22.11,35.75,21.53,402,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C6121,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0007100000,0.0000200000,0.0011500000,4.00E-05,,,,,-1.03,11.06,1.29,10.77,20.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Hibonite,S-H5323,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0012600000,0.0000150000,0.0015200000,3.00E-05,,,,,-43.67,15.00,2934.83,40.55,86.2,8.7,4.70E-03,5.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Corundum,S-C6071,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0012200000,0.0000200000,0.0001500000,1.50E-05,,,,,-7.34,12.24,1405.25,21.53,17.3,1.7,1.10E-02,1.00E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Corundum,S-C6106,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0010300000,0.0000150000,0.0002900000,1.50E-05,,,,,-12.87,24.09,25009.91,344.89,112,12,3.10E-02,3.00E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
