Type,Grain Label,Reference,Meteorite,Technique,Size (microns),Notes,7Li/6Li,Error[7Li/6Li],11B/10B,Error[11B/10B],12C/13C,Error[12C/13C],14N/15N,Error[14N/15N],d(29Si/28Si),Error[d(29Si/28Si)],d(30Si/28Si),Error[d(29Si/28Si)],26Al/27Al,Error[26Al/27Al],d(33S/32S),Error[d(33S/32S)],d(34S/32S),Error[d(34S/32S)],d(42Ca/40Ca),Error[d(42Ca/40Ca)],d(43Ca/40Ca),Error[d(43Ca/40Ca)],d(44Ca/40Ca),Error[d(44Ca/40Ca)],44Ti/48Ti,Error[44Ti/48Ti),d(46Ti/48Ti),Error[d(46Ti/48Ti)],d(47Ti/48Ti),Error[d(47Ti/48Ti)],d(49Ti/48Ti),Error[d(49Ti/48Ti)],d(50Ti/48Ti),Error[d(50Ti/48Ti)],51V/48Ti,Error[51V/48Ti],d(54Fe/56Fe),Error[d(54Fe/56Fe)],d(57Fe/56Fe),Error[d(57Fe/56Fe)],d(58Fe/56Fe),Error[d(58Fe/56Fe)],d(60Ni/58Ni),Error[d(60Ni/58Ni)],d(61Ni/58Ni),Error[d(61Ni/58Ni)],d(62Ni/58Ni),Error[d(62Ni/58Ni)],d(84Sr/86Sr),Error[d(84Sr/86Sr)],d(87Sr/86Sr),Error[d(87Sr/86Sr)],d(88Sr/86Sr),Error[d(88Sr/86Sr)],d(90Zr/94Zr),Error[d(90Zr/94Zr)],d(91Zr/94Zr),Error[d(91Zr/94Zr)],d(92Zr/94Zr),Error[d(92Zr/94Zr)],d(96Zr/94Zr),Error[d(96Zr/94Zr)],d(92Mo/96Mo),Error[d(92Mo/96Mo)],d(94Mo/96Mo),Error[d(94Mo/96Mo)],d(95Mo/96Mo),Error[d(95Mo/96Mo)],d(97Mo/96Mo),Error[d(97Mo/96Mo)],d(98Mo/96Mo),Error[d(98Mo/96Mo)],d(100Mo/96Mo),Error[d(100Mo/96Mo)],d(96Ru/100Ru),Error[d(96Ru/100Ru)],d(98Ru/100Ru),Error[d(98Ru/100Ru)],d(99Ru/100Ru),Error[d(99Ru/100Ru)],d(101Ru/100Ru),Error[d(101Ru/100Ru)],d(102Ru/100Ru),Error[d(102Ru/100Ru)],d(104Ru/100Ru),Error[d(104Ru/100Ru)],d(134Ba/136Ba),Error[d(134Ba/136Ba)],d(135Ba/136Ba),Error[d(135Ba/136Ba)],d(137Ba/136Ba),Error[d(137Ba/136Ba)],d(138Ba/136Ba),Error[d(138Ba/136Ba)],
M,M3_1@1,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,43.0,16.0,60.3,16.5,,,,,,,,,,,,,,,-12.3,32.6,-33.7,19.3,126.8,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_11,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,-29.2,3.9,4.9,5.1,,,,,,,,,,,,,,,-14.8,25.2,-12.5,11.4,40.9,15.0,-15.3,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_16,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,102.2,4.1,86.6,5.3,,,,,,,,,,,,,,,113.8,16.7,44.6,9.6,13.1,8.7,241.1,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_20,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,Not in Paper,,,,,,,,,16.8,7.2,27.3,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_22,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,-45.9,6.9,-26.4,7.9,,,,,,,,,,,,,,,-72.6,21.0,-40.2,20.9,-67.1,20.5,-132.2,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_29,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,17.9,4.3,29.1,6.0,,,,,,,,,,,,,,,16.4,13.1,3.9,11.5,12.5,11.5,91.3,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_32,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,Not in Paper,,,,,,,,,12.9,4.7,26.8,6.7,,,,,,,,,,,,,,,81.1,29.4,29.3,23.2,59.7,24.2,226.7,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_33,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,11.5,3.7,18.8,5.7,,,,,,,,,,,,,,,5.8,12.5,6.1,10.9,20.3,10.9,53.5,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_39,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,18.7,4.1,35.2,5.2,,,,,,,,,,,,,,,76.7,50.4,35.9,21.9,29.1,20.2,222.6,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_40,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,19.4,3.8,25.3,5.4,,,,,,,,,,,,,,,-14.5,19.9,-25.2,14.3,1.8,14.4,101.5,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_41,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,34.0,5.0,45.1,6.4,,,,,,,,,,,,,,,-0.9,14.5,-6.9,9.9,10.5,9.4,58.3,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_44,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,13.8,4.7,24.5,6.5,,,,,,,,,,,,,,,-0.2,12.9,-17.7,9.4,-10.6,8.5,23.4,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_46,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,Not in Paper,,,,,,,,,33.8,5.5,41.7,7.6,,,,,,,,,,,,,,,43.0,28.9,58.6,22.1,65.2,31.7,901.1,366.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M3_9,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,80.5,4.0,65.8,5.1,,,,,,,,,,,,,,,113.1,15.9,44.3,9.1,117.8,10.3,203.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-12,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,9.3,4.2,18.0,7.3,,,,,,,,,,,,,,,-31.1,18.0,-11.3,13.8,13.9,12.6,45.6,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-13,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,15.0,6.3,33.7,5.7,,,,,,,,,,,,,,,-15.2,19.5,-12.8,19.5,-0.9,21.3,22.1,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-15,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,12.3,9.8,26.2,8.9,,,,,,,,,,,,,,,-16.2,17.0,-25.1,16.6,-5.3,18.3,11.9,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
